timestamp,RMS,Peak,Crest,ZCR_Hz,dB,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
2026-09-01T21:36:55.946643,0.91,1.0,1.1,125.0,0.0,55.856,-11.074,2.116,0.859,2.216,1.715,2.075,1.691,1.642,1.114,0.537,-0.122,-0.659
2026-09-01T21:36:55.946988,2896.31,65536.0,22.63,125.0,69.24,465.623,-51.063,-8.706,-7.623,-3.14,-2.74,-1.56,-1.615,-1.193,-1.189,-0.792,-0.794,-0.647
2026-09-01T21:36:55.947332,133218.92,3014400.0,22.63,125.0,102.49,771.736,-51.02,-8.668,-7.589,-3.11,-2.714,-1.537,-1.595,-1.175,-1.174,-0.779,-0.783,-0.637
2026-09-01T21:36:55.947664,104267.3,2359296.0,22.63,125.0,100.36,780.53,-51.65,-9.224,-8.071,-3.527,-3.074,-1.849,-1.865,-1.409,-1.376,-0.953,-0.933,-0.766
2026-09-01T21:36:55.947995,104422.86,2359296.0,22.59,125.0,100.38,754.938,-50.96,-8.615,-7.544,-3.072,-2.68,-1.507,-1.568,-1.153,-1.158,-0.767,-0.773,-0.628
2026-09-01T21:36:55.948308,12.41,280.0,22.57,125.0,21.87,185.339,-48.215,-6.26,-5.577,-1.455,-1.371,-0.466,-0.753,-0.522,-0.671,-0.402,-0.528,-0.523
2026-09-01T21:36:55.948629,207894.73,4194305.0,20.18,125.0,106.36,798.67,-52.62,-10.064,-8.77,-4.076,-3.529,-2.26,-2.232,-1.753,-1.807,-1.535,-1.437,-1.04
2026-09-01T21:36:55.948924,2.93,63.0,21.49,93.7,9.34,231.734,-50.392,-8.038,-6.955,-2.475,-2.079,-0.904,-0.955,-0.519,-0.502,-0.11,-0.137,-0.038
2026-09-01T21:36:55.949259,92770.95,2099167.0,22.63,125.0,99.35,696.653,-50.302,-8.049,-7.068,-2.674,-2.349,-1.231,-1.337,-0.959,-0.992,-0.626,-0.655,-0.53
2026-09-01T21:36:55.949570,318650.66,7210241.0,22.63,93.7,110.07,833.94,-51.347,-8.954,-7.836,-3.322,-2.896,-1.693,-1.729,-1.291,-1.273,-0.864,-0.856,-0.699
2026-09-01T21:36:55.949889,67769.07,1533439.0,22.63,125.0,96.62,691.303,-50.413,-8.144,-7.146,-2.739,-2.402,-1.275,-1.374,-0.989,-1.017,-0.647,-0.672,-0.544
2026-09-01T21:36:56.150803,1994.04,45120.0,22.63,125.0,65.99,443.974,-51.932,-9.478,-8.298,-3.729,-3.253,-2.007,-2.006,-1.535,-1.489,-1.053,-1.022,-0.845
2026-09-01T21:36:56.351586,186795.13,4194304.0,22.45,125.0,105.43,781.552,-52.226,-9.744,-8.534,-3.937,-3.437,-2.168,-2.146,-1.653,-1.586,-1.136,-1.095,-0.903
2026-09-01T21:36:56.551389,995.61,22528.0,22.63,125.0,59.96,537.469,-51.47,-9.063,-7.931,-3.405,-2.968,-1.756,-1.784,-1.338,-1.315,-0.9,-0.887,-0.726
2026-09-01T21:36:56.751992,0.91,2.0,2.2,125.0,0.0,63.369,-13.625,2.724,0.207,2.214,1.658,2.12,1.756,1.733,1.132,0.781,0.154,-0.363
2026-09-01T21:36:56.952506,440139.47,7340032.0,16.68,125.0,112.87,830.425,-51.63,-9.439,-7.469,-2.943,-2.332,-0.992,-0.88,-0.391,-0.75,-1.169,-1.694,-2.174
2026-09-01T21:36:57.152149,122188.05,2764800.0,22.63,125.0,101.74,729.523,-50.501,-8.219,-7.209,-2.791,-2.446,-1.311,-1.404,-1.014,-1.038,-0.664,-0.687,-0.556
2026-09-01T21:36:57.352568,23510.22,524288.0,22.3,125.0,87.43,700.818,-51.454,-9.049,-7.919,-3.393,-2.957,-1.746,-1.775,-1.33,-1.309,-0.895,-0.883,-0.722
2026-09-01T21:36:57.552712,1267.14,28672.0,22.63,125.0,62.06,481.72,-50.388,-8.123,-7.13,-2.726,-2.392,-1.267,-1.368,-0.985,-1.014,-0.644,-0.671,-0.543
2026-09-01T21:36:57.752845,34755.71,786432.0,22.63,125.0,90.82,720.442,-51.398,-9.0,-7.876,-3.356,-2.926,-1.719,-1.752,-1.31,-1.29,-0.878,-0.868,-0.71
2026-09-01T21:36:57.952575,91.06,2048.0,22.49,125.0,39.19,403.878,-52.241,-9.331,-8.337,-3.687,-3.241,-1.975,-1.979,-1.499,-1.454,-1.015,-0.987,-0.812
2026-09-01T21:36:58.152478,11.31,255.0,22.55,125.0,21.07,286.922,-50.838,-8.476,-7.388,-2.9,-2.495,-1.308,-1.352,-0.921,-0.912,-0.514,-0.531,-0.42
2026-09-01T21:36:58.352328,331241.66,5763071.0,17.4,125.0,110.4,752.335,-50.863,-8.327,-7.079,-2.482,-2.049,-0.837,-0.874,-0.539,-0.851,-0.863,-1.22,-1.52
2026-09-01T21:36:58.552573,34.68,768.0,22.14,125.0,30.8,286.38,-51.891,-9.429,-8.24,-3.664,-3.194,-1.962,-1.983,-1.552,-1.559,-1.13,-1.091,-0.963
